button,frequency,name,url,logo
L,87,ROCK ANTENNE Deutschrock,https://stream.rockantenne.de/deutschrock/stream/mp3,RA_DR.png
L,88,ROCK ANTENNE Deutschrock,https://stream.rockantenne.de/deutschrock/stream/mp3,RA_DR.png
L,89,ROCK ANTENNE Heavy Metal,https://stream.rockantenne.de/heavy-metal/stream/mp3,RA_HM.png
L,90,ROCK ANTENNE Symphonic Rock,https://s1-webradio.rockantenne.de/symphonic-rock/stream/mp3,RA_SR.png
L,91,Radio Bob Metal,https://streams.radiobob.de/bob-metal/mp3-192/,RB_M.png
L,92,Best of Rock.FM - Hard rock,https://bestofrockfm.stream.vip/hardrock/aac-64/radioplayer,BOR_HR.png
L,93,Best of Rock.FM - Metal,https://bestofrockfm.stream.vip/metal/aac-64/radioplayer,BOR_M.png
L,94,ROCK ANTENNE Coversongs,https://stream.rockantenne.de/coversongs/stream/mp3,RA_C.png
L,95,ROCK FM Metal,https://stream.regenbogen2.de/metal/aac-128/homepage,RFM_M.png
L,96,ROCK ANTENNE Hair Metal,https://stream.rockantenne.de/hair-metal/stream/mp3,RA_HRM.png
L,97,ROCK ANTENNE Hard Rock,https://stream.rockantenne.de/rock-antenne-hard-rock/stream/mp3,RA_HR.png
L,98,Radio Bob 2000-er rock,https://streams.radiobob.de/2000er/mp3-192/,RB_2000.png
L,99,Radio Bob Metallica,https://streams.radiobob.de/metallica/mp3-192/,RB_MET.png
L,100,Best of rock: Rammstein,https://bestofrockfm.stream.vip/rammstein/aac-64/radioplayer,BOR_RAMM.png
L,101,Best of rock: Rammstein,https://bestofrockfm.stream.vip/rammstein/aac-64/radioplayer,BOR_RAMM.png
L,102,Radio Bob Iron Maiden,https://streams.radiobob.de/bob-ironmaiden/mp3-192/,RB_IM.png
L,103,Radio Bob Iron Maiden,https://streams.radiobob.de/bob-ironmaiden/mp3-192/,RB_IM.png
L,104,Radio Bob Ozzy Ousbourne,https://streams.radiobob.de/ozzyosbourne/mp3-192,RB_OZZY.png
